,Sites,Data da Coleta,Data da Viagem,Destino,Empresa,Turno,Precos
0,Mundi,2018-01-30,2018-02-27,SAO-VIX,TAM,M,219
1,Mundi,2018-01-30,2018-02-27,SAO-VIX,TAM,T,192
2,Mundi,2018-01-30,2018-02-27,SAO-VIX,TAM,N,219
3,Mundi,2018-01-30,2018-02-27,SAO-VIX,GOL,M,185
4,Mundi,2018-01-30,2018-02-27,SAO-VIX,GOL,T,401
5,Mundi,2018-01-30,2018-02-27,SAO-VIX,GOL,N,210
6,Mundi,2018-01-30,2018-02-27,SAO-VIX,AZUL,M,216
7,Mundi,2018-01-30,2018-02-27,SAO-VIX,AZUL,T,216
8,Mundi,2018-01-30,2018-02-27,SAO-VIX,AZUL,N,216
9,Mundi,2018-02-27,2018-03-27,SAO-VIX,TAM,M,229
10,Mundi,2018-02-27,2018-03-27,SAO-VIX,TAM,T,201
11,Mundi,2018-02-27,2018-03-27,SAO-VIX,TAM,N,229
12,Mundi,2018-02-27,2018-03-27,SAO-VIX,GOL,M,183
13,Mundi,2018-02-27,2018-03-27,SAO-VIX,GOL,T,313
14,Mundi,2018-02-27,2018-03-27,SAO-VIX,GOL,N,247
15,Mundi,2018-02-27,2018-03-27,SAO-VIX,AZUL,M,209
16,Mundi,2018-02-27,2018-03-27,SAO-VIX,AZUL,T,271
17,Mundi,2018-02-27,2018-03-27,SAO-VIX,AZUL,N,209
18,Mundi,2018-03-27,2018-04-24,SAO-VIX,TAM,M,209
19,Mundi,2018-03-27,2018-04-24,SAO-VIX,TAM,T,181
20,Mundi,2018-03-27,2018-04-24,SAO-VIX,TAM,N,183
21,Mundi,2018-03-27,2018-04-24,SAO-VIX,GOL,M,171
22,Mundi,2018-03-27,2018-04-24,SAO-VIX,GOL,T,313
23,Mundi,2018-03-27,2018-04-24,SAO-VIX,GOL,N,220
24,Mundi,2018-03-27,2018-04-24,SAO-VIX,AZUL,M,203
25,Mundi,2018-03-27,2018-04-24,SAO-VIX,AZUL,T,203
26,Mundi,2018-03-27,2018-04-24,SAO-VIX,AZUL,N,203
27,Mundi,2018-04-24,2018-05-29,SAO-VIX,TAM,M,178
28,Mundi,2018-04-24,2018-05-29,SAO-VIX,TAM,T,175
29,Mundi,2018-04-24,2018-05-29,SAO-VIX,TAM,N,396
30,Mundi,2018-04-24,2018-05-29,SAO-VIX,GOL,M,178
31,Mundi,2018-04-24,2018-05-29,SAO-VIX,GOL,T,359
32,Mundi,2018-04-24,2018-05-29,SAO-VIX,GOL,N,268
33,Mundi,2018-04-24,2018-05-29,SAO-VIX,AZUL,M,203
34,Mundi,2018-04-24,2018-05-29,SAO-VIX,AZUL,T,183
35,Mundi,2018-04-24,2018-05-29,SAO-VIX,AZUL,N,203
36,Mundi,2018-05-29,2018-06-26,SAO-VIX,TAM,M,183
37,Mundi,2018-05-29,2018-06-26,SAO-VIX,TAM,T,181
38,Mundi,2018-05-29,2018-06-26,SAO-VIX,TAM,N,239
39,Mundi,2018-05-29,2018-06-26,SAO-VIX,GOL,M,174
40,Mundi,2018-05-29,2018-06-26,SAO-VIX,GOL,T,242
41,Mundi,2018-05-29,2018-06-26,SAO-VIX,GOL,N,229
42,Mundi,2018-05-29,2018-06-26,SAO-VIX,AZUL,M,205
43,Mundi,2018-05-29,2018-06-26,SAO-VIX,AZUL,T,151
44,Mundi,2018-05-29,2018-06-26,SAO-VIX,AZUL,N,205
45,Mundi,2018-07-31,2018-08-28,SAO-VIX,TAM,M,179
46,Mundi,2018-07-31,2018-08-28,SAO-VIX,TAM,T,179
47,Mundi,2018-07-31,2018-08-28,SAO-VIX,TAM,N,280
48,Mundi,2018-07-31,2018-08-28,SAO-VIX,GOL,M,174
49,Mundi,2018-07-31,2018-08-28,SAO-VIX,GOL,T,657
50,Mundi,2018-07-31,2018-08-28,SAO-VIX,GOL,N,174
51,Mundi,2018-07-31,2018-08-28,SAO-VIX,AZUL,M,205
52,Mundi,2018-07-31,2018-08-28,SAO-VIX,AZUL,T,177
53,Mundi,2018-07-31,2018-08-28,SAO-VIX,AZUL,N,205
54,Mundi,2018-01-30,2018-02-27,BHZ-VIX,TAM,M,168
55,Mundi,2018-01-30,2018-02-27,BHZ-VIX,TAM,T,168
56,Mundi,2018-01-30,2018-02-27,BHZ-VIX,TAM,N,168
57,Mundi,2018-01-30,2018-02-27,BHZ-VIX,GOL,M,183
58,Mundi,2018-01-30,2018-02-27,BHZ-VIX,GOL,T,208
59,Mundi,2018-01-30,2018-02-27,BHZ-VIX,GOL,N,220
60,Mundi,2018-01-30,2018-02-27,BHZ-VIX,AZUL,M,160
61,Mundi,2018-01-30,2018-02-27,BHZ-VIX,AZUL,T,180
62,Mundi,2018-01-30,2018-02-27,BHZ-VIX,AZUL,N,264
63,Mundi,2018-02-27,2018-03-27,BHZ-VIX,TAM,M,155
64,Mundi,2018-02-27,2018-03-27,BHZ-VIX,TAM,T,155
65,Mundi,2018-02-27,2018-03-27,BHZ-VIX,TAM,N,155
66,Mundi,2018-02-27,2018-03-27,BHZ-VIX,GOL,M,220
67,Mundi,2018-02-27,2018-03-27,BHZ-VIX,GOL,T,-
68,Mundi,2018-02-27,2018-03-27,BHZ-VIX,GOL,N,183
69,Mundi,2018-02-27,2018-03-27,BHZ-VIX,AZUL,M,228
70,Mundi,2018-02-27,2018-03-27,BHZ-VIX,AZUL,T,235
71,Mundi,2018-02-27,2018-03-27,BHZ-VIX,AZUL,N,228
72,Mundi,2018-03-27,2018-04-24,BHZ-VIX,TAM,M,155
